x y z r g b
500.0 500.0 22.889998197555542 71 127 157
500.0 500.0 26.159997940063477 119 86 93
500.0 562.5 3.2699997425079346 164 195 114
500.0 562.5 6.539999485015869 147 169 172
500.0 562.5 9.809999227523804 153 148 154
500.0 562.5 13.079998970031738 140 181 108
500.0 562.5 16.349998712539673 75 117 149
500.0 562.5 19.619998455047607 68 125 114
500.0 562.5 22.889998197555542 60 111 156
500.0 562.5 26.159997940063477 94 74 99
500.0 625.0 3.2699997425079346 158 192 105
500.0 625.0 6.539999485015869 177 177 168
500.0 625.0 9.809999227523804 158 161 159
500.0 625.0 13.079998970031738 127 173 112
500.0 625.0 16.349998712539673 95 127 157
500.0 625.0 19.619998455047607 79 105 110
500.0 625.0 22.889998197555542 73 110 130
500.0 625.0 26.159997940063477 113 67 85
500.0 687.5 3.2699997425079346 145 189 99
500.0 687.5 6.539999485015869 179 206 125
500.0 687.5 9.809999227523804 169 191 136
500.0 687.5 13.079998970031738 134 165 137
500.0 687.5 16.349998712539673 107 125 165
500.0 687.5 19.619998455047607 99 96 120
500.0 687.5 22.889998197555542 82 105 110
500.0 687.5 26.159997940063477 131 83 75
500.0 750.0 6.539999485015869 148 232 78
500.0 750.0 9.809999227523804 146 235 82
500.0 750.0 13.079998970031738 117 187 110
500.0 750.0 16.349998712539673 105 159 128
500.0 750.0 19.619998455047607 94 123 100
500.0 750.0 22.889998197555542 81 125 98
500.0 812.5 9.809999227523804 90 196 57
500.0 812.5 13.079998970031738 72 170 93
500.0 812.5 16.349998712539673 67 168 93
500.0 812.5 19.619998455047607 82 133 86
500.0 812.5 22.889998197555542 61 111 77
500.0 875.0 13.079998970031738 66 121 79
500.0 875.0 19.619998455047607 58 122 97
562.5 62.5 9.809999227523804 144 14 101
562.5 62.5 13.079998970031738 115 37 105
562.5 62.5 16.349998712539673 128 47 82
562.5 62.5 19.619998455047607 138 52 40
562.5 62.5 22.889998197555542 143 35 58
562.5 125.0 6.539999485015869 176 22 134
562.5 125.0 9.809999227523804 183 9 133
562.5 125.0 13.079998970031738 172 20 141
562.5 125.0 16.349998712539673 187 27 105
562.5 125.0 19.619998455047607 181 37 66
562.5 125.0 22.889998197555542 159 34 80
562.5 125.0 26.159997940063477 183 40 66
562.5 187.5 3.2699997425079346 192 46 139
562.5 187.5 6.539999485015869 214 42 165
562.5 187.5 9.809999227523804 224 50 165
562.5 187.5 13.079998970031738 230 54 146
562.5 187.5 16.349998712539673 230 55 99
562.5 187.5 19.619998455047607 205 67 76
562.5 187.5 22.889998197555542 169 61 78
562.5 187.5 26.159997940063477 169 74 55
562.5 250.0 3.2699997425079346 237 73 151
562.5 250.0 6.539999485015869 246 79 160
562.5 250.0 9.809999227523804 228 98 173
562.5 250.0 13.079998970031738 244 117 110
562.5 250.0 16.349998712539673 220 104 71
562.5 250.0 19.619998455047607 189 108 52
562.5 250.0 22.889998197555542 158 85 63
562.5 250.0 26.159997940063477 138 80 44
562.5 312.5 3.2699997425079346 241 110 133
562.5 312.5 6.539999485015869 254 113 140
562.5 312.5 9.809999227523804 221 129 147
562.5 312.5 13.079998970031738 208 141 68
562.5 312.5 16.349998712539673 149 113 76
562.5 312.5 19.619998455047607 146 120 54
562.5 312.5 22.889998197555542 123 94 78
562.5 312.5 26.159997940063477 99 77 79
562.5 375.0 3.2699997425079346 234 138 130
562.5 375.0 6.539999485015869 241 166 110
562.5 375.0 9.809999227523804 200 171 127
562.5 375.0 13.079998970031738 170 129 87
562.5 375.0 16.349998712539673 97 95 144
562.5 375.0 19.619998455047607 92 109 100
562.5 375.0 22.889998197555542 103 95 130
562.5 437.5 3.2699997425079346 218 142 132
562.5 437.5 6.539999485015869 205 197 107
562.5 437.5 9.809999227523804 178 184 119
562.5 437.5 13.079998970031738 136 132 118
562.5 437.5 16.349998712539673 91 113 183
562.5 437.5 19.619998455047607 78 110 135
562.5 437.5 22.889998197555542 98 125 157
562.5 500.0 3.2699997425079346 204 165 131
562.5 500.0 6.539999485015869 171 167 153
